backend,operation,thread_mode,qtype,rows,width,shape,iterations,ms,input_gb_s,output_gb_s,encoded_bytes,decoded_bytes,notes
libgguf_cpu,dequantize,default,IQ2_XS,64,4096,64x4096,10,4.433007,0.017094,0.236538,75776,1048576,
cuda,quantize,,IQ2_S,64,4096,64x4096,3,213.381795,0.004914,,83968,1048576,
cuda,dequantize,,IQ2_S,64,4096,64x4096,100,0.011725,7.161572,89.432315,83968,1048576,
libgguf_cpu,quantize,1_thread,IQ2_S,64,4096,64x4096,1,59.720545,0.017558,,83968,1048576,
libgguf_cpu,dequantize,1_thread,IQ2_S,64,4096,64x4096,10,0.258846,0.324393,4.050957,83968,1048576,
libgguf_cpu,quantize,default,IQ2_S,64,4096,64x4096,1,5.188311,0.202104,,83968,1048576,
libgguf_cpu,dequantize,default,IQ2_S,64,4096,64x4096,10,4.356959,0.019272,0.240667,83968,1048576,
cuda,quantize,,IQ3_XXS,64,4096,64x4096,3,270.784831,0.003872,,100352,1048576,
cuda,dequantize,,IQ3_XXS,64,4096,64x4096,100,0.009585,10.470085,109.401706,100352,1048576,
libgguf_cpu,quantize,1_thread,IQ3_XXS,64,4096,64x4096,1,128.061011,0.008188,,100352,1048576,
libgguf_cpu,dequantize,1_thread,IQ3_XXS,64,4096,64x4096,10,0.202285,0.496093,5.183662,100352,1048576,
libgguf_cpu,quantize,default,IQ3_XXS,64,4096,64x4096,1,5.884327,0.178198,,100352,1048576,
libgguf_cpu,dequantize,default,IQ3_XXS,64,4096,64x4096,10,4.364407,0.022993,0.240256,100352,1048576,
cuda,quantize,,IQ3_S,64,4096,64x4096,3,254.123698,0.004126,,112640,1048576,
cuda,dequantize,,IQ3_S,64,4096,64x4096,100,0.013660,8.245877,76.761617,112640,1048576,
libgguf_cpu,quantize,1_thread,IQ3_S,64,4096,64x4096,1,80.570778,0.013014,,112640,1048576,
libgguf_cpu,dequantize,1_thread,IQ3_S,64,4096,64x4096,10,0.311438,0.361677,3.366883,112640,1048576,
libgguf_cpu,quantize,default,IQ3_S,64,4096,64x4096,1,5.313160,0.197354,,112640,1048576,
libgguf_cpu,dequantize,default,IQ3_S,64,4096,64x4096,10,4.030410,0.027948,0.260166,112640,1048576,
cuda,quantize,,IQ1_S,64,4096,64x4096,3,41.754262,0.025113,,51200,1048576,
cuda,dequantize,,IQ1_S,64,4096,64x4096,100,0.008395,6.099188,124.911368,51200,1048576,
